"First column name","Second column name","Correlation value","p value","Degrees of freedom","swap_column","First_Column","Second_Column"
"P10_7","REGION",0.16295459264395737,0,13552,"no_swap","P10_7","REGION"
"P14_2_2","REGION",0.13904879615319282,0,13552,"no_swap","P14_2_2","REGION"
"P9_8_2","REGION",0.13139514386096843,0,13107,"no_swap","P9_8_2","REGION"
"P10_4","REGION",0.1271150409209169,0,13552,"no_swap","P10_4","REGION"
"P4_8_5","REGION",0.11804944574609445,0,13459,"no_swap","P4_8_5","REGION"
"P5_4_1","REGION",0.11439254421030352,0,13552,"no_swap","P5_4_1","REGION"
"P9_1","REGION",0.11246029364085952,0,13118,"no_swap","P9_1","REGION"
"P4_8_6","REGION",0.1108078341986054,0,13493,"no_swap","P4_8_6","REGION"
"P4_3","REGION",0.10854857477394543,0,13552,"no_swap","P4_3","REGION"
"P12_1","REGION",-0.129880491578087,0.00000000000000000000000000000000000000000000000000045236991893348804,13552,"no_swap","P12_1","REGION"
"P7_7_4","REGION",-0.13978812724630038,0.0000000000000000000000000000000000000000000000000000000000041264237052958266,13552,"no_swap","P7_7_4","REGION"
